artId,title,artist,epoch,genre
2,Рождение Венеры,Сандро Боттичелли,Ренессанс (Возрождение)|Раннее Возрождение,Мифологическая живопись|Историческая живопись
9,Звёздная ночь,Винсент Ван Гог,Постимпрессионизм,Пейзаж|Небесный пейзаж
18,Лунная ночь. Берег моря,Иван Константинович Айвазовский,Романтизм,Пейзаж|Морской пейзаж (Марина)
19,Рожь,Иван Иванович Шишкин,Реализм,Пейзаж
24,Запорожцы пишут письмо турецкому султану,Илья Ефимович Репин,Реализм,Историческая живопись
26,Портрет композитора Модеста Петровича Мусоргского,Илья Ефимович Репин,Реализм,Портрет
28,Девушка с жемчужной серёжкой,Ян Вермеер,Барокко,Портрет
33,Смерть и жизнь,Густав Климт,Модерн,Мифологическая живопись|Ню|Аллегория
34,Возвращение блудного сына,Рембрандт Харменс ван Рейн,Барокко,Историческая живопись|Религиозная живопись
37,Последний день Помпеи,Карл Павлович Брюллов,Романтизм,Историческая живопись
40,Крик,Эдвард Мунк,Экспрессионизм,Жанровая живопись
41,Девочка на шаре,Пабло Пикассо,Экспрессионизм|Символизм,Жанровая живопись
44,Сон,Пабло Пикассо,Кубизм,Портрет
47,Корзина яблок,Поль Сезанн,Постимпрессионизм,Натюрморт
50,Кающаяся Мария Магдалина,Тициан,Ренессанс (Возрождение)|Высокое Возрождение,Религиозная живопись
54,Портрет инфанты Маргариты,Диего Родригес де Сильва и Веласкес,Барокко,Портрет
57,Постоянство памяти,Сальвадор Дали,Сюрреализм,Символическая живопись
60,Дама с горностаем,Леонардо да Винчи,Ренессанс (Возрождение),Портрет
61,Стог сена на закате возле Живерни,Клод Моне,Импрессионизм,Пейзаж
62,Прогулка,Клод Моне,Импрессионизм,Жанровая живопись
