artId,title,artist,epoch,genre
1,Весна,Сандро Боттичелли,Ренессанс (Возрождение)|Раннее Возрождение,Мифологическая живопись|Историческая живопись|Аллегория
2,Рождение Венеры,Сандро Боттичелли,Ренессанс (Возрождение)|Раннее Возрождение,Мифологическая живопись|Историческая живопись
3,Мадонна Магнификат,Сандро Боттичелли,Ренессанс (Возрождение)|Раннее Возрождение,Религиозная живопись
4,Суд Париса,Сандро Боттичелли,Ренессанс (Возрождение)|Раннее Возрождение,Мифологическая живопись
5,Паллада и Кентавр,Сандро Боттичелли,Ренессанс (Возрождение),Мифологическая живопись|Историческая живопись
6,Сикстинская Мадонна,Рафаэль Санти,Ренессанс (Возрождение)|Высокое Возрождение,Религиозная живопись
7,Мадонна Конестабиле,Рафаэль Санти,Ренессанс (Возрождение)|Высокое Возрождение,Религиозная живопись
8,Мадонна с вуалью,Рафаэль Санти,Ренессанс (Возрождение)|Высокое Возрождение,Религиозная живопись
9,Звёздная ночь,Винсент Ван Гог,Постимпрессионизм,Пейзаж|Небесный пейзаж
10,Подсолнухи,Винсент Ван Гог,Постимпрессионизм,Натюрморт|Цветочный натюрморт
11,Цветущий миндаль,Винсент Ван Гог,Японизм,Натюрморт|Цветочный натюрморт
12,Ирисы,Винсент Ван Гог,Постимпрессионизм,Пейзаж
13,Автопортрет,Винсент Ван Гог,Постимпрессионизм,Портрет
14,Морской пейзаж,Винсент Ван Гог,Постимпрессионизм,Пейзаж|Морской пейзаж (Марина)
15,Спальня,Винсент Ван Гог,Экспрессионизм|Постимпрессионизм,Натюрморт|Интерьер
16,Девятый вал,Иван Константинович Айвазовский,Романтизм,Пейзаж|Морской пейзаж (Марина)
17,Неаполитанский залив утром,Иван Константинович Айвазовский,Романтизм,Пейзаж|Морской пейзаж (Марина)
18,Лунная ночь. Берег моря,Иван Константинович Айвазовский,Романтизм,Пейзаж|Морской пейзаж (Марина)
19,Рожь,Иван Иванович Шишкин,Реализм,Пейзаж
20,Утро в сосновом лесу,Иван Иванович Шишкин,Реализм,Пейзаж|Анималистика
21,На севере диком,Иван Иванович Шишкин,Реализм,Пейзаж|Пастораль
22,Мухоморы,Иван Иванович Шишкин,Реализм,Пейзаж|Пастораль
23,Иван Грозный и его сын Иван,Илья Ефимович Репин,Реализм,Историческая живопись
24,Запорожцы пишут письмо турецкому султану,Илья Ефимович Репин,Реализм,Историческая живопись
25,Бурлаки на Волге,Илья Ефимович Репин,Реализм,Историческая живопись|Жанровая живопись
26,Портрет композитора Модеста Петровича Мусоргского,Илья Ефимович Репин,Реализм,Портрет
27,Не ждали,Илья Ефимович Репин,Реализм,Жанровая живопись
28,Девушка с жемчужной серёжкой,Ян Вермеер,Барокко,Портрет
29,Молочница,Ян Вермеер,Барокко,Жанровая живопись
30,Кружевница,Ян Вермеер,Барокко,Жанровая живопись
31,Астроном,Ян Вермеер,Барокко|Золотой век голландской живописи,Жанровая живопись
32,Поцелуй,Густав Климт,Модерн,Жанровая живопись
33,Смерть и жизнь,Густав Климт,Модерн,Мифологическая живопись|Ню|Аллегория
34,Возвращение блудного сына,Рембрандт Харменс ван Рейн,Барокко,Историческая живопись|
Религиозная живопись
35,Портрет старика в красном,Рембрандт Харменс ван Рейн,Барокко|Золотой век Голландии,Портрет
36,Лютнист,Микеланджело Меризи да Караваджо,Барокко,Портрет
37,Последний день Помпеи,Карл Павлович Брюллов,Романтизм,Историческая живопись
38,Всадница,Карл Павлович Брюллов,Романтизм,Портрет
39,Итальянский полдень,Карл Павлович Брюллов,Романтизм,Портрет
40,Крик,Эдвард Мунк,Экспрессионизм,Жанровая живопись
41,Девочка на шаре,Пабло Пикассо,Экспрессионизм|Символизм,Жанровая живопись
42,Autoportrait noir et blanc,Пабло Пикассо,Постимпрессионизм,Портрет
43,Старый гитарист,Пабло Пикассо,Постимпрессионизм,Портрет
44,Сон,Пабло Пикассо,Кубизм,Портрет
45,Женщина держащая плод,Поль Гоген,Постимпрессионизм|Клуазонизм,Портрет|Историческая живопись|Жанровая живопись
46,Натюрморт с попугаями,Поль Гоген,Постимпрессионизм,Натюрморт
47,Корзина яблок,Поль Сезанн,Постимпрессионизм,Натюрморт
48,Поворот дороги в Монжеру,Поль Сезанн,Постимпрессионизм,Пейзаж
49,Натюрморт с яблоками,Поль Сезанн,Постимпрессионизм,Натюрморт
50,Кающаяся Мария Магдалина,Тициан,Ренессанс (Возрождение)|Высокое Возрождение,Религиозная живопись
51,Персей и Андромеда,Тициан,Ренессанс (Возрождение),Мифологическая живопись|Ню
52,Менины,Диего Родригес де Сильва и Веласкес,Барокко,Жанровая живопись
53,Марс,Диего Родригес де Сильва и Веласкес,Барокко,Мифологическая живопись
54,Портрет инфанты Маргариты,Диего Родригес де Сильва и Веласкес,Барокко,Портрет
55,Голубые танцовщицы,Эдгар Дега,Импрессионизм,Жанровая живопись
56,Поклонение волхвов,Иероним Босх,Ренессанс (Возрождение)|Северное Возрождение,Религиозная живопись
57,Постоянство памяти,Сальвадор Дали,Сюрреализм,Символическая живопись
58,Сон навеянный полетом пчелы вокруг граната за секунду до пробуждения,Сальвадор Дали,Сюрреализм,Символическая живопись
59,Искушение Святого Антония,Сальвадор Дали,Сюрреализм,Религиозная живопись
60,Дама с горностаем,Леонардо да Винчи,Ренессанс (Возрождение),Портрет
61,Стог сена на закате возле Живерни,Клод Моне,Импрессионизм,Пейзаж
62,Прогулка,Клод Моне,Импрессионизм,Жанровая живопись
63,Водяные лилии,Клод Моне,Импрессионизм,Пейзаж
